==35288== NVPROF is profiling process 35288, command: ./debug_vectorAdd
[Vector addition of 1000 elements]
Copy input data from the host memory to the CUDA device
CUDA kernel launch with 500 blocks of 2 threads
grid.x 334 grid.y 1 grid.z 1
block.x 3 block.y 1 block.z 1
Copy output data from the CUDA device to the host memory
threadIdx:(2, 0, 0) blockIdx:(107, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(123, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(123, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(123, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(48, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(48, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(48, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(43, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(43, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(43, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(17, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(17, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(17, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(31, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(31, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(31, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(88, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(88, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(88, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(66, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(66, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(66, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(32, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(32, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(32, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(47, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(47, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(47, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(215, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(215, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(215, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(57, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(57, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(57, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(83, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(83, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(83, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(185, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(185, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(185, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(127, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(127, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(127, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(33, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(33, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(33, 0, 0) blockDim:(3, 1, 1) gridDim:(334, 1, 1)
